,名词,动词
2464,助手,0
2468,译文,0
2472,大拇指,0
2473,上帝,0
2479,羊皮纸,0
2486,日记本,0
2494,国旗,0
2497,划子,0
2498,民族,0
2502,原因,0
2504,国家,0
2508,水端,0
2509,标题,0
2513,责任,0
2518,家园,0
2519,外衣,0
2520,西装,0
2523,玩具,0
2525,聚光灯,0
2541,姊姊,0
2542,公债,0
2543,乙醚,0
2544,仪式,0
2549,地球,0
2551,房,0
2552,房租,0
2555,国玺,0
2556,仗,0
2559,命令,0
2560,债,0
2562,谷粒,0
2563,稻草,0
2565,次货,0
2567,刽子手,0
2568,花采,0
2576,骑兵,0
2577,城门,0
2579,要点,0
2581,臂膀,0
2582,网,0
2593,心上人,0
2596,棉条,0
2607,财宝,0
2610,午餐,0
2611,余烬,0
2632,信放,0
2634,阔人,0
2637,付款单,0
2640,匣子,0
2644,产业,0
2654,力气,0
2656,信系,0
2665,罪犯,0
2666,使女,0
2667,同伴,0
2670,花盆,0
2673,饭桌,0
2682,餐桌,0
2691,抽屉,0
2695,公司,0
2696,白粉,0
2701,苍蝇,0
2722,事业,0
2723,人派,0
2724,飞机,0
2726,血迹,0
2727,金戒指,0
2728,粉扑,0
2733,铅,0
2734,骨髓,0
2737,旧书,0
2742,王位,0
2743,枪架,0
2748,数,0
2749,乐谱,0
2753,魂,0
2758,茶点,0
2759,菜单,0
2761,记事本,0
2769,剃刀,0
2772,木材,0
2773,校规,0
2777,机器设备,0
2779,救生艇,0
2782,锅盖,0
2783,便器,0
2787,套索,0
2792,尾巴,0
2806,床上用品,0
2809,城,0
2819,会长,0
2821,轮子,0
2825,航空,0
2829,锯放,0
2833,血样,0
2846,情况,0
2854,皮包,0
2855,航路,0
2861,警报,0
2862,妻儿,0
2868,译员,0
