,Unnamed: 0,动词,名词
124,124,撑炸,0
125,125,带动,0
126,126,拉长,孩子
127,127,修,电
128,128,所写,语言
130,130,展开,0
131,131,迷失,方向
132,132,办好,小屋
133,133,呷,0
134,134,加深,果核
135,135,稳住,听众
136,136,加大,声音
137,137,伸长,法则
138,138,得到,学费
139,139,排错,0
140,140,鼓,饼
141,141,渡过,身体
142,142,渡,事实
143,143,混,妻子
144,144,破,公主
145,145,打散,果子
147,147,截断,情形
148,148,插到,船划
149,149,摘走,水桶
150,150,呈,尺寸
151,151,砍掉,帽子
153,153,挑,树枝
154,154,站,铁丝网
155,155,累坏,梯子
156,156,盘得,电话
157,157,变卖,0
158,158,吃透,全家
159,159,逼近,精力
160,160,欠,热水瓶
162,162,没,0
163,163,蹬,邮票
164,164,打伤,电文
165,165,浸,枕巾
166,166,喝光,枕
167,167,挤掉,银子
168,168,闻,矛头
170,170,摆好,爹
171,171,领走,帖子
172,172,扶到,遗体
173,173,搁下,耳朵
174,174,述说,0
175,175,安葬,筷子
177,177,劝,情况
178,178,抖搂,事件
179,179,担,事情
180,180,赢,0
181,181,救,乌纱帽
182,182,信送,视线
183,183,平,原文
184,184,打成,0
185,185,刨,名帖
186,186,认识,话头
187,187,转正,敌人
188,188,消减,0
189,189,疼,0
190,190,成,0
191,191,告,0
192,192,炒,0
193,193,翻开,意思
194,194,推出,真情
195,195,岔,0
196,196,保卫,药渣
197,197,浸湿,0
198,198,扭动,套袖
199,199,刺探,手指
200,200,独吞,0
201,201,坐下,地图
203,203,覆盖,报告
204,204,推迟,0
205,205,打通,台灯
206,206,清扫,0
209,209,折叠,鸡
210,210,死劲,仇报
211,211,旋转,0
212,212,紧缩,0
213,213,娶,心
214,214,嚼,0
215,215,钻,0
216,216,漏,0
217,217,贴近,0
218,218,掩饰,0
219,219,拍在,0
220,220,拼成,怒气
221,221,斩成,大学生
222,222,煎,0
223,223,出来,公文
224,224,散,0
225,225,灌,汽车
226,226,托,素材
227,227,包装,0
228,228,浸泡,飞船
229,229,亮,毛衣
230,230,戳穿,0
231,231,感动,0
232,232,戳,院子
233,233,愣住,空气
236,236,回事,0
237,237,抢去,0
238,238,撕裂,大灯
239,239,颤,电视
240,240,归拢,0
241,241,弓,0
242,242,抡,0
243,243,用完,0
244,244,闹翻,0
245,245,消散,球
246,246,合,学生
247,247,忍,0
249,249,加重,眼泪
250,250,停止,0
251,251,扣上,胳臂
252,252,找来,0
253,253,提醒,0
254,254,焙干,舱门
255,255,掩没,刺朝
256,256,泄漏,0
257,257,拨开,鱼翅
258,258,压住,牌
259,259,拂,栅门
260,260,淋,0
261,261,挡,话题
262,262,拴,0
263,263,在案,讲义
264,264,搞坏,长毛
265,265,端坐,妻女
266,266,裹,时间
267,267,清洗,土
269,269,提出,外孙
270,270,淋塌,老娘
271,271,脱下来,大门
272,272,搁下来,年龄
273,273,扔给,腰子
274,274,挽,0
275,275,叼,0
276,276,没了,涕泪
277,277,戒,脸蛋
